product,handle,jewellery,position,width,height,ratio,is_hero,under_800px,url
Blush of Dawn,blush-of-dawn,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/blush-of-dawn.jpg
Blush of Dawn,blush-of-dawn,False,2,1537,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/blush-of-dawn-0.jpg
Ethereal Lilac,ethereal-lilac,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ethereal-lilac.jpg
Ethereal Lilac,ethereal-lilac,False,2,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ethereal-lilac-0.jpg
Ethereal Lilac,ethereal-lilac,False,3,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ethereal-lilac-1.jpg
Ethereal Lilac,ethereal-lilac,False,4,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ethereal-lilac-2.jpg
Royal Enigma,royal-enigma,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/royal-enigma.jpg
Royal Enigma,royal-enigma,False,2,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/royal-enigma-0.jpg
Royal Enigma,royal-enigma,False,3,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/royal-enigma-1.jpg
Royal Enigma,royal-enigma,False,4,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/royal-enigma-2.jpg
Amber Bloom Set,amber-bloom-set,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-bloom-set.jpg
Amber Bloom Set,amber-bloom-set,False,2,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-bloom-set-0.jpg
Amber Bloom Set,amber-bloom-set,False,3,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-bloom-set-1.jpg
Amber Bloom Set,amber-bloom-set,False,4,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-bloom-set-2.jpg
Amber Radiance,amber-radiance,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-radiance.jpg
Amber Radiance,amber-radiance,False,2,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-radiance-0.jpg
Amber Radiance,amber-radiance,False,3,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-radiance-1.jpg
Amber Radiance,amber-radiance,False,4,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-radiance-2.jpg
Amber Radiance,amber-radiance,False,5,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/amber-radiance-3.jpg
Golden Blossom,golden-blossom,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/golden-blossom.jpg
Golden Blossom,golden-blossom,False,2,1537,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/golden-blossom-0.jpg
Golden Blossom,golden-blossom,False,3,1537,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/golden-blossom-1.jpg
Golden Blossom,golden-blossom,False,4,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/golden-blossom-2.jpg
Golden Blossom,golden-blossom,False,5,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/golden-blossom-3.jpg
Midnight Bloom,midnight-bloom,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-bloom.jpg
