title,sku,cat,status,stated,pdp_fit,picker,supplier,note
Baguette Éclat Bracelet,JDB201210,Bracelet,ok,16.5cm,,,,
Baroque Bloom Cuff,YF6671,Bracelet,ok,"Open cuff, approximately 6cm by 5.5cm, on 1.5mm wire Terminal one: Irregular white mother of pearl slab, approximately 1.8cm by 0.7cm, in a 0.25cm bez",,,cuff 6cm x 5.5cm · pearl 1.8 x 0.7cm · zircon 1.7cm · bezel 0.25cm · 5.9g · PVD 18K gold,
Baroque Shell Bracelet,YF3925,Bracelet,no-length,,,,,No length in Details and none in the body copy either — cannot be recovered from the page.
Blush Station Bracelet,JDB0103317-PK,Bracelet,ok,19cm plus a 5cm extender,,,,
Bold Nocturne Bracelet,YF5144-BRA,Bracelet,ok,Approximately 20cm plus a 3cm extender,,,,
Heartbead Bracelet,YF5215,Bracelet,no-length,,,,,No length in Details and none in the body copy either — cannot be recovered from the page.
Lumière Oval Bracelet,NF-SLB-01,Bracelet,no-length,,,,,No length in Details and none in the body copy either — cannot be recovered from the page.
Pearl Reverie Bracelet,JDB2409013,Bracelet,ok,"19cm plus a 3cm extender, bracelet only",,,,
Prism Rivière Bracelet,B00681C,Bracelet,ok,18cm,,,,
Ribbon Bead Bracelet,YF8156,Bracelet,ok,Adjustable from 16cm to 19cm,,,18cm - 1.2mm satellite chain with 2mm gold beads - two 5mm heart-cut zircons,
Rivière of Light Bracelet,JDB201083,Bracelet,ok,17.5cm,,,,
Triple Dawn Cuff,JDB0104010,Bracelet,no-details,,,,,No Details block at all — the only SKU with none.
Baguette Arc Hoops,WE14387B,Earrings,ok,Approximately 20mm across,,,,
Brushed Gold Huggies,E14776S,Earrings,ok,Approximately 12mm across,,,,
Clover Trio Edit,JDE0201327,Earrings,ok,"Huggie hoops approximately 10.2mm across Charms: Detachable four petal clover, approximately 8.5mm drop",,,,
Filigree Bloom Studs,YF8147,Earrings,ok,"Five petal flower, approximately 30mm across and 29mm tall Design: Open filigree worked in fine radiating gold wire",,,filigree flower stud ~20mm across - 8mm round white freshwater pearl centre,
Molten Bloom Hoops,JDE0110042,Earrings,ok,Approximately 21mm wide and 19mm tall,,,,
Pearl Blossom Earrings,E20997C,Earrings,ok,Approximately 18mm tall Top: Pave set bow of small clear cubic zirconia,,,,
Pearl Drop Studs,YF8333,Earrings,ok,,,,,
Pearl Point Studs,E19263B,Earrings,ok,Approximately 16mm across,,,,
Ribbon Bow Earrings,E16075B,Earrings,ok,Approximately 15mm wide,,,,
Solitaire Whisper Studs,E16355C,Earrings,ok,"Approximately 12mm square Centre stone: Round brilliant clear cubic zirconia, approximately 7mm Halo: Cushion shaped pave halo of small clear cubic zi",,,,
Textured Gold Hoops,FE03586B,Earrings,ok,Approximately 22mm across,,,,
Trio Oval Drop Earrings,E16676C,Earrings,ok,Total drop approximately 40mm Form: Three linked ovals finishing in a flat open oval,,,,
Verdant Circlet Studs,FE02847B,Earrings,ok,,,,,
Verdant Drop Earrings,E21572E1,Earrings,ok,,,,,
Woven Gold Hoops,E20267O,Earrings,ok,Approximately 25mm across,,,,
First Light Set,JDS0204301-set,Jewellery Set,ok,,,,,
Baroque Pearl Lariat,YF8457,Necklace,no-length,,,,,No length in Details and none in the body copy either — cannot be recovered from the page.
Bold Nocturne Chain,YF5144,Necklace,ok,Approximately 46cm plus a 5cm extender,,,,
Charm Box Chain,YF5146,Necklace,ok,50cm,,,chain 2.5mm · charm 10mm · length 50cm/19.6in · 12.3g · PVD gold plated stainless,
Clover Charm Necklace,YF6618,Necklace,fixable,,,,,"stated in the product's own copy (""a fine cable chain of about 42cm"")"
Heartline Paperclip Necklace,YF3952,Necklace,no-length,,,,,No length in Details and none in the body copy either — cannot be recovered from the page.
Lumière Oval Necklace,NF-SLN-01,Necklace,no-length,,,,,No length in Details and none in the body copy either — cannot be recovered from the page.
Marquise Layering Set,YF5244,Necklace,fixable,,,,"set of 2 - 40cm chain with a 10 x 5mm marquise zircon, plus a Y-lariat with 5mm marquise stations; 1.2mm cable chain",stated in the product's own copy and confirmed by supplier spec YF5244
Pearl Legacy Necklace,YF3925-NEC,Necklace,no-length,,,,,No length in Details and none in the body copy either — cannot be recovered from the page.
Petite Pearl Chain,YF-DIYChain,Necklace,ok,Approximately 42cm,,,,
Rivière Eternal Necklace,YF7085-NEC,Necklace,ok,Approximately 40cm,,,,
Serpentine Whisper Chain,YF8439,Necklace,ok,40cm plus a 5cm extender,,,length 40cm + 5cm extender (15.75in + 2in) · 10g · 18K PVD gold plated stainless,
Serpentine Whisper Chain — Silver,YF8439-SLV,Necklace,ok,40cm plus a 5cm extender,,,,
Toggle Link Chain,YF5143,Necklace,ok,50cm,,,chain 4mm · toggle 15mm · length 50cm/19.7in · 12g · 18K PVD gold plated stainless,
Blush Cluster Ring,WR10914B2,Ring,copy-vs-picker,"US 7, fixed size, not adjustable Centre stone: Round pink cubic zirconia, approximately 5mm",Fixed size,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"The listing says this is made only in US 7 and is not adjustable — but the page renders the standard picker, which pre-selects US 6 as in stock and marks US 7 a 45-day pre-order. A shopper who takes the default buys a size the copy says the ring is not made in."
Chevron Whisper Ring,JDR0303312-7,Ring,copy-vs-picker,"US 7, fixed size, inner diameter approximately 17.3mm Profile: Double V chevron band",Fixed size,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"The listing says this is made only in US 7 and is not adjustable — but the page renders the standard picker, which pre-selects US 6 as in stock and marks US 7 a 45-day pre-order. A shopper who takes the default buys a size the copy says the ring is not made in."
Cushion Halo Ring,WR20902K8,Ring,copy-vs-picker,"US 7, fixed size, not adjustable",Fixed size,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"The listing says this is made only in US 7 and is not adjustable — but the page renders the standard picker, which pre-selects US 6 as in stock and marks US 7 a 45-day pre-order. A shopper who takes the default buys a size the copy says the ring is not made in."
Granule Dome Ring,JDR0104337,Ring,ok,,Adjustable · US 6–8,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"Listing and page agree: open back, US 6–8."
Halo Curve Ring,YF8453,Ring,unbacked-claim,,Adjustable · US 6–8,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"The page states Fit: Adjustable · US 6–8, but this listing says nothing about size at all. ringFit.ts claims the set was verified against listing copy; for this handle there is no copy to verify against."
Pavé Dome Ring,JDR0104337-S,Ring,ok,"US 7, open back adjustable Top: Broad rounded dome, approximately 16.8mm long and 15.7mm wide",Adjustable · US 6–8,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"Listing and page agree: open back, US 6–8."
Pearl Ribbon Ring,FR03136B,Ring,copy-vs-picker,"US 7, fixed size, not adjustable Front: Bow formed from two flat gold loops tied at a polished knot",Fixed size,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"The listing says this is made only in US 7 and is not adjustable — but the page renders the standard picker, which pre-selects US 6 as in stock and marks US 7 a 45-day pre-order. A shopper who takes the default buys a size the copy says the ring is not made in."
Petite Pavé Band,WR12518B,Ring,ok,"US 6 to 8, open back adjustable",Adjustable · US 6–8,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"Listing and page agree: open back, US 6–8."
Rose Verdant Band,R18345A1,Ring,unbacked-claim,,Adjustable · US 6–8,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"The page states Fit: Adjustable · US 6–8, but this listing says nothing about size at all. ringFit.ts claims the set was verified against listing copy; for this handle there is no copy to verify against."
Star Point Band,YF5214,Ring,ok,"Multiple sizes available, confirmed at order",Fixed size,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)","star-motif band ring, band ~6mm, US 6/7/8/9, gold and steel colourways",Page shows Fit: Fixed size; the listing is silent on size but the supplier offers several.
Verdant Eternity Band,WR23024K,Ring,ok,"Adjustable, US 6 to 8, open back",Adjustable · US 6–8,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"Listing and page agree: open back, US 6–8."
Vintage Halo Ring,WR23569K8,Ring,ok,US 7,Fixed size,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"Listing says US 7 without stating fit; the page shows Fit: Fixed size. Consistent, though the copy could say so outright."
Whisper Pavé Band,WR10170K7,Ring,ok,US 7,Fixed size,"US 5 (pre-order 45d) · US 6 (in stock, default) · US 7 (pre-order 45d)",,"Listing says US 7 without stating fit; the page shows Fit: Fixed size. Consistent, though the copy could say so outright."
